Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Dominician Republic,Ecuador,Vietnam,Taiwan,Finland,France,Germany,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Sweden,Uruguay,Switzerland,Malaysia,Turkey,Mexico,Netherlands,New Zeland,Spain,Norway,Thailand,Paraguay,Peru,United Kingdom,Poland,Portugal,United States,Singapore,Malta
50,4,3,5,33,4,4,5,32,33,33,4,4,31,32,4,4,4,5,4,4,34,32,4,4,4,3,4,4,4,1,3,42,6,4,2,27,4,4,25,4,4,30,33,4,4,6,4,4,4
4,50,17,28,4,5,26,31,3,4,4,26,26,4,4,15,16,21,14,17,22,4,7,28,29,29,11,32,19,9,2,17,4,27,30,5,9,25,39,5,24,9,1,3,32,17,17,27,32,19
3,17,50,18,3,4,18,17,2,3,4,17,19,4,3,13,13,17,12,36,17,3,6,16,19,18,7,18,16,11,2,15,3,32,16,5,8,17,17,5,17,7,1,2,17,14,14,16,16,12
5,28,18,49,5,5,25,25,4,5,5,23,25,5,5,14,15,21,21,19,20,5,8,24,28,24,10,28,20,10,2,18,5,30,25,6,11,29,27,6,24,8,2,4,27,18,17,20,26,17
33,4,3,5,50,4,4,5,34,45,43,4,4,35,47,4,4,4,5,4,4,44,40,4,4,4,3,4,4,4,1,3,37,6,4,2,36,4,4,25,4,4,32,43,4,4,6,4,4,4
4,5,4,5,4,50,5,5,3,4,4,5,5,2,4,5,5,5,4,4,5,4,5,5,5,5,3,5,5,3,1,4,4,5,5,2,4,5,5,3,5,5,1,3,5,5,8,4,5,2
4,26,18,25,4,5,50,32,3,4,5,24,24,4,4,14,15,22,12,17,29,4,7,24,30,31,8,27,19,10,2,16,4,26,24,7,9,21,26,5,23,8,1,3,26,18,19,31,24,18
5,31,17,25,5,5,32,50,4,5,6,23,25,5,5,15,15,22,13,16,27,5,8,25,28,35,9,27,19,11,2,18,5,27,28,6,9,20,31,6,27,9,2,4,27,16,21,42,29,27
32,3,2,4,34,3,3,4,50,34,33,3,3,39,34,3,3,3,4,3,3,37,38,3,3,3,3,3,3,3,1,2,34,5,3,2,26,3,3,25,3,3,39,33,3,3,5,3,3,3
33,4,3,5,45,4,4,5,34,50,41,4,4,35,47,4,4,4,5,4,4,43,40,4,4,4,3,4,4,4,1,3,34,6,4,2,35,4,4,23,4,4,31,43,4,4,6,4,4,4
