Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Dominician Republic,Ecuador,Vietnam,Taiwan,Finland,France,Germany,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Sweden,Uruguay,Switzerland,Malaysia,Turkey,Mexico,Netherlands,New Zeland,Spain,Norway,Thailand,Paraguay,Peru,United Kingdom,Poland,Portugal,United States,Singapore,Malta
50,4,4,5,32,3,4,5,32,32,32,4,4,26,31,4,4,3,3,4,4,32,31,4,5,4,3,4,4,5,2,3,41,6,4,2,26,3,4,25,4,3,30,33,3,2,6,4,4,4
4,50,21,31,5,3,25,30,3,6,7,26,24,3,6,14,15,19,9,17,20,5,6,27,30,28,11,32,18,11,4,16,5,25,27,5,9,21,39,3,24,6,2,4,29,11,16,26,29,18
4,21,50,21,5,3,20,20,3,6,7,22,22,3,6,13,13,19,9,36,17,5,6,18,21,20,8,21,15,12,4,17,5,34,20,6,9,19,21,3,21,6,2,4,20,10,15,17,20,11
5,31,21,50,6,3,25,26,4,7,8,25,25,4,7,13,15,21,20,18,21,6,7,22,29,25,8,29,17,12,4,18,6,30,24,5,10,26,28,4,26,6,3,5,27,12,18,22,25,17
32,5,5,6,50,3,5,6,34,41,41,5,5,28,43,4,5,4,4,5,5,41,39,5,6,5,3,5,5,6,2,4,34,7,5,2,33,4,5,23,5,3,33,43,4,3,7,5,5,5
3,3,3,3,3,50,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,1,3,3,3,2,3,2,2,3,3,2,7,3,3,2
4,25,20,25,5,3,50,27,3,6,7,25,25,3,6,16,17,18,9,16,25,5,6,27,33,30,10,28,19,11,5,16,5,26,22,6,9,20,26,3,23,7,2,4,26,12,19,28,24,17
5,30,20,26,6,3,27,50,4,7,8,24,24,4,7,16,16,19,8,15,21,6,7,29,28,30,10,30,17,12,4,18,6,26,26,5,9,20,32,4,26,6,3,5,27,11,20,41,29,17
32,3,3,4,34,3,3,4,50,34,32,3,3,35,33,3,3,3,3,4,3,36,38,3,4,3,2,3,3,5,2,3,34,5,3,1,25,3,3,25,3,2,39,34,3,2,5,4,3,4
32,6,6,7,41,3,6,7,34,50,41,6,6,30,44,6,6,5,4,6,6,40,40,6,7,6,3,6,6,6,4,5,34,8,6,3,33,5,6,22,6,3,32,43,5,4,8,6,6,5
32,7,7,8,41,3,7,8,32,41,50,7,7,31,42,5,7,6,5,7,7,43,41,7,8,7,3,7,7,7,3,6,36,9,7,3,36,6,7,24,7,3,33,41,6,5,9,7,7,6
4,26,22,25,5,3,25,24,3,6,7,50,24,3,6,14,17,21,9,17,20,5,6,25,28,24,9,28,20,11,4,18,5,28,25,5,9,21,26,3,25,6,2,4,26,11,16,21,26,13
4,24,22,25,5,3,25,24,3,6,7,24,50,3,6,12,13,20,9,17,20,5,6,22,26,26,8,27,18,12,4,19,5,26,21,6,9,24,25,3,26,6,2,4,25,11,16,21,22,17
26,3,3,4,28,2,3,4,35,30,31,3,3,50,30,2,3,3,3,4,3,33,36,3,4,3,2,3,3,5,2,3,28,5,3,2,24,3,3,20,3,2,32,30,3,2,5,4,3,4
31,6,6,7,43,3,6,7,33,44,42,6,6,30,50,5,6,5,4,6,6,39,39,6,7,6,3,6,6,6,3,5,34,8,6,2,34,5,6,23,6,3,31,45,5,4,8,6,6,5
4,14,13,13,4,3,16,16,3,6,5,14,12,2,5,50,14,10,5,9,12,4,5,20,14,12,15,14,10,7,5,11,5,13,22,4,6,10,14,3,13,9,2,4,12,6,11,13,19,7
4,15,13,15,5,3,17,16,3,6,7,17,13,3,6,14,50,11,5,9,13,5,6,23,17,13,8,16,12,8,5,11,5,16,19,4,8,11,15,3,14,8,2,4,14,9,12,14,23,6
3,19,19,21,4,3,18,19,3,5,6,21,20,3,5,10,11,50,10,16,17,4,5,17,19,19,5,20,14,10,4,21,4,20,20,4,7,19,19,2,26,4,2,3,20,11,14,17,20,12
3,9,9,20,4,2,9,8,3,4,5,9,9,3,4,5,5,10,50,10,8,4,4,7,10,9,3,9,7,8,2,9,3,13,7,4,5,9,9,2,9,2,2,3,9,7,8,7,7,8
4,17,36,18,5,3,16,15,4,6,7,17,17,4,6,9,9,16,10,50,14,5,6,12,18,15,5,16,13,12,4,14,5,30,14,5,8,16,16,4,16,4,3,4,16,9,13,13,14,12
4,20,17,21,5,3,25,21,3,6,7,20,20,3,6,12,13,17,8,14,50,5,6,18,24,21,6,21,16,10,4,15,5,21,18,6,7,16,20,2,19,5,2,4,19,11,16,19,18,13
32,5,5,6,41,3,5,6,36,40,43,5,5,33,39,4,5,4,4,5,5,50,43,5,6,5,3,5,5,6,2,4,34,7,5,2,33,4,5,23,5,3,36,39,4,3,7,5,5,5
31,6,6,7,39,3,6,7,38,40,41,6,6,36,39,5,6,5,4,6,6,43,50,6,7,6,3,6,6,6,3,5,34,8,6,2,31,5,6,22,6,3,35,38,5,4,8,6,6,5
4,27,18,22,5,3,27,29,3,6,7,25,22,3,6,20,23,17,7,12,18,5,6,50,27,23,14,26,19,11,5,16,5,23,28,5,8,18,28,3,23,9,2,4,24,11,17,26,34,13
5,30,21,29,6,3,33,28,4,7,8,28,26,4,7,14,17,19,10,18,24,6,7,27,50,28,10,31,21,13,4,17,6,31,24,6,10,21,28,4,24,6,3,5,29,12,19,25,26,19
4,28,20,25,5,3,30,30,3,6,7,24,26,3,6,12,13,19,9,15,21,5,6,23,28,50,9,30,18,11,4,17,5,26,22,5,9,21,30,3,28,6,2,4,28,11,18,31,23,21
3,11,8,8,3,2,10,10,2,3,3,9,8,2,3,15,8,5,3,5,6,3,3,14,10,9,50,10,8,5,3,6,3,9,21,3,4,7,11,3,9,10,2,3,9,2,7,9,16,7
4,32,21,29,5,3,28,30,3,6,7,28,27,3,6,14,16,20,9,16,21,5,6,26,31,30,10,50,20,11,4,18,5,29,26,5,9,23,32,3,28,6,2,4,41,12,17,26,29,19
4,18,15,17,5,3,19,17,3,6,7,20,18,3,6,10,12,14,7,13,16,5,6,19,21,18,8,20,49,10,4,13,5,19,18,5,8,16,18,3,17,6,2,4,19,9,15,17,18,10
5,11,12,12,6,3,11,12,5,6,7,11,12,5,6,7,8,10,8,12,10,6,6,11,13,11,5,11,10,50,3,11,5,14,11,5,7,11,11,5,11,4,4,5,11,7,12,11,11,11
2,4,4,4,2,2,5,4,2,4,3,4,4,2,3,5,5,4,2,4,4,2,3,5,4,4,3,4,4,3,50,4,3,4,5,2,3,4,4,2,4,3,2,2,4,3,4,4,5,2
3,16,17,18,4,3,16,18,3,5,6,18,19,3,5,11,11,21,9,14,15,4,5,16,17,17,6,18,13,11,4,50,4,19,18,4,6,17,16,3,26,4,2,3,17,10,14,15,18,10
41,5,5,6,34,3,5,6,34,34,36,5,5,28,34,5,5,4,3,5,5,34,34,5,6,5,3,5,5,5,3,4,50,7,5,2,27,4,5,26,5,3,34,35,4,3,7,5,5,4
6,25,34,30,7,3,26,26,5,8,9,28,26,5,8,13,16,20,13,30,21,7,8,23,31,26,9,29,19,14,4,19,7,50,24,6,11,21,26,5,26,6,4,6,27,11,19,23,25,16
4,27,20,24,5,3,22,26,3,6,7,25,21,3,6,22,19,20,7,14,18,5,6,28,24,22,21,26,18,11,5,18,5,24,50,5,8,20,26,3,26,11,2,4,23,10,17,21,39,14
2,5,6,5,2,1,6,5,1,3,3,5,6,2,2,4,4,4,4,5,6,2,2,5,6,5,3,5,5,5,2,4,2,6,5,49,2,4,5,1,5,2,1,2,4,4,5,4,5,4
26,9,9,10,33,3,9,9,25,33,36,9,9,24,34,6,8,7,5,8,7,33,31,8,10,9,4,9,8,7,3,6,27,11,8,2,50,8,9,19,8,5,24,30,8,5,10,8,8,5
3,21,19,26,4,3,20,20,3,5,6,21,24,3,5,10,11,19,9,16,16,4,5,18,21,21,7,23,16,11,4,17,4,21,20,4,8,50,21,3,21,5,2,3,22,11,15,17,21,15
4,39,21,28,5,3,26,32,3,6,7,26,25,3,6,14,15,19,9,16,20,5,6,28,28,30,11,32,18,11,4,16,5,26,26,5,9,21,50,3,26,6,2,4,30,11,17,28,28,18
25,3,3,4,23,2,3,4,25,22,24,3,3,20,23,3,3,2,2,4,2,23,22,3,4,3,3,3,3,5,2,3,26,5,3,1,19,3,3,50,3,3,25,24,3,1,5,4,3,3
4,24,21,26,5,3,23,26,3,6,7,25,26,3,6,13,14,26,9,16,19,5,6,23,24,28,9,28,17,11,4,26,5,26,26,5,8,21,26,3,50,6,2,4,25,11,16,23,25,16
3,6,6,6,3,2,7,6,2,3,3,6,6,2,3,9,8,4,2,4,5,3,3,9,6,6,10,6,6,4,3,4,3,6,11,2,5,5,6,3,6,50,2,3,5,2,6,5,10,2
30,2,2,3,33,2,2,3,39,32,33,2,2,32,31,2,2,2,2,3,2,36,35,2,3,2,2,2,2,4,2,2,34,4,2,1,24,2,2,25,2,2,50,31,2,1,4,3,2,3
33,4,4,5,43,3,4,5,34,43,41,4,4,30,45,4,4,3,3,4,4,39,38,4,5,4,3,4,4,5,2,3,35,6,4,2,30,3,4,24,4,3,31,50,3,2,6,4,4,4
3,29,20,27,4,3,26,27,3,5,6,26,25,3,5,12,14,20,9,16,19,4,5,24,29,28,9,41,19,11,4,17,4,27,23,4,8,22,30,3,25,5,2,3,50,12,17,26,25,19
2,11,10,12,3,2,12,11,2,4,5,11,11,2,4,6,9,11,7,9,11,3,4,11,12,11,2,12,9,7,3,10,3,11,10,4,5,11,11,1,11,2,1,2,12,50,11,11,11,7
6,16,15,18,7,7,19,20,5,8,9,16,16,5,8,11,12,14,8,13,16,7,8,17,19,18,7,17,15,12,4,14,7,19,17,5,10,15,17,5,16,6,4,6,17,11,50,20,17,12
4,26,17,22,5,3,28,41,4,6,7,21,21,4,6,13,14,17,7,13,19,5,6,26,25,31,9,26,17,11,4,15,5,23,21,4,8,17,28,4,23,5,3,4,26,11,20,50,24,19
4,29,20,25,5,3,24,29,3,6,7,26,22,3,6,19,23,20,7,14,18,5,6,34,26,23,16,29,18,11,5,18,5,25,39,5,8,21,28,3,25,10,2,4,25,11,17,24,50,15
4,18,11,17,5,2,17,17,4,5,6,13,17,4,5,7,6,12,8,12,13,5,5,13,19,21,7,19,10,11,2,10,4,16,14,4,5,15,18,3,16,2,3,4,19,7,12,19,15,50
